metric,n,pearson_r,pearson_p,pearson_ci95_fisher_lo,pearson_ci95_fisher_hi,pearson_ci95_boot_lo,pearson_ci95_boot_hi,spearman_rho,spearman_p,spearman_ci95_boot_lo,spearman_ci95_boot_hi
mean_SAC_correct_scalar,61,0.22204735803538772,0.08544870151329254,-0.03153679657318089,0.4487743710538694,-0.0006440200278839953,0.4355136987487333,0.28816928285529053,0.02431468554286859,0.04631481265530284,0.4972394557496328
mean_SAC_correct_vec,61,0.25472081603934926,0.04758157626514341,0.0030988496008521474,0.47600847497161064,0.013274620148742203,0.46430049132292084,0.26661748239183897,0.0377988271285439,-0.00033483653760293865,0.4995459648910044
mean_SAC_correct_vec_both,61,0.26342748104849617,0.04024204905653044,0.012431397486400446,0.4831947688381429,0.023799742485178466,0.4698646972353388,0.2737661139951952,0.032767732713988154,0.012563486401616369,0.5084158855096904
mean_SAC_total_scalar,62,0.14504506250038784,0.26067216778595337,-0.10865962238038573,0.38101016438868585,-0.07724320092893959,0.38137369766601575,0.27089028083451233,0.03320654259839282,0.024875392228405527,0.4958659267989391
mean_SAC_total_vec,62,0.20603521234918462,0.10814287469563177,-0.04610563446816535,0.43349529433973716,-0.02511714819504804,0.42946327603444073,0.24969762657459638,0.05032007696938916,-0.0076776712050435555,0.4902156738279779
mean_SAC_total_vec_both,62,0.2134576049407118,0.09574893841425153,-0.03835551929360518,0.43977902317564244,-0.02583203261899356,0.4353957592525652,0.2554086749861026,0.04512080101443588,0.0006034111732343391,0.4921769211681346
mean_correct,62,-0.20059169007285932,0.11799326701429151,-0.4288727561587841,0.05177027734352573,-0.4218351634513211,0.04850717383254175,-0.12827575144962158,0.3204170093433531,-0.3721739163141381,0.1409838696437982
weighted_score_30_70,62,0.0591424483222379,0.6479507186568757,-0.19348387948349,0.3044138787293543,-0.14845544625759308,0.24865614807689865,0.13229798548972246,0.3053492196164319,-0.11566910749237864,0.3659931061603809
weighted_score_50_50,62,-0.06578941280218965,0.6114288240639758,-0.31045616765831757,0.18705245518308694,-0.28012955428689756,0.1407339464473087,-0.0014119853606678974,0.9913098347645468,-0.25447541882746527,0.24642097317893252
