q1_cut,removed_images,n_removed,min_answers,n_subjects,spearman_r,spearman_p,fdr_bh,nominal_sig,fdr_sig
65,,0,0,44,0.20226434798921936,0.18793830883918086,0.7506525013658502,False,False
65,,0,1,44,0.20226434798921936,0.18793830883918086,0.7506525013658502,False,False
65,,0,2,44,0.20226434798921936,0.18793830883918086,0.7506525013658502,False,False
65,,0,3,42,0.17371619262429194,0.2712339163092313,0.7506525013658502,False,False
65,,0,4,42,0.17371619262429194,0.2712339163092313,0.7506525013658502,False,False
65,,0,5,42,0.17371619262429194,0.2712339163092313,0.7506525013658502,False,False
65,,0,6,42,0.17371619262429194,0.2712339163092313,0.7506525013658502,False,False
65,,0,7,41,0.18135050084529852,0.25648470028675385,0.7506525013658502,False,False
65,,0,8,37,0.1633582296255516,0.33400695071679265,0.7506525013658502,False,False
65,,0,9,35,0.1771074403002685,0.3087712405849561,0.7506525013658502,False,False
65,,0,10,34,0.17118854362770114,0.33303118072054727,0.7506525013658502,False,False
65,1,1,0,44,0.15961910259149234,0.3006844560793198,0.7506525013658502,False,False
65,1,1,1,44,0.15961910259149234,0.3006844560793198,0.7506525013658502,False,False
65,1,1,2,43,0.15711799950113348,0.3143199257529589,0.7506525013658502,False,False
65,1,1,3,42,0.1346788459671477,0.3951237808976687,0.7506525013658502,False,False
65,1,1,4,42,0.1346788459671477,0.3951237808976687,0.7506525013658502,False,False
65,1,1,5,42,0.1346788459671477,0.3951237808976687,0.7506525013658502,False,False
65,1,1,6,41,0.16963354466725125,0.28900715368838287,0.7506525013658502,False,False
65,1,1,7,37,0.1424331579995712,0.40037578802933727,0.7506525013658502,False,False
65,1,1,8,35,0.16938269072333373,0.3306818287485285,0.7506525013658502,False,False
65,1,1,9,34,0.15739537538554077,0.37400535289453685,0.7506525013658502,False,False
65,1,1,10,0,,,,False,False
65,2,1,0,44,0.219944797988277,0.15140596260606762,0.7506525013658502,False,False
65,2,1,1,44,0.219944797988277,0.15140596260606762,0.7506525013658502,False,False
65,2,1,2,43,0.19963749634882091,0.19931673206500647,0.7506525013658502,False,False
65,2,1,3,42,0.19225893228643548,0.22254183445367043,0.7506525013658502,False,False
65,2,1,4,42,0.19225893228643548,0.22254183445367043,0.7506525013658502,False,False
65,2,1,5,42,0.19225893228643548,0.22254183445367043,0.7506525013658502,False,False
65,2,1,6,41,0.16097698749093278,0.31467737690557546,0.7506525013658502,False,False
65,2,1,7,37,0.14362208252377462,0.3964137836317372,0.7506525013658502,False,False
65,2,1,8,35,0.15646129143100646,0.3694167634794616,0.7506525013658502,False,False
65,2,1,9,34,0.14559455366724802,0.4113093566730042,0.7506525013658502,False,False
65,2,1,10,0,,,,False,False
65,3,1,0,44,0.18147213879032756,0.2384318278011589,0.7506525013658502,False,False
65,3,1,1,44,0.18147213879032756,0.2384318278011589,0.7506525013658502,False,False
65,3,1,2,43,0.1859949690187079,0.23241334957857873,0.7506525013658502,False,False
65,3,1,3,42,0.16851121307000602,0.2860749142517119,0.7506525013658502,False,False
65,3,1,4,42,0.16851121307000602,0.2860749142517119,0.7506525013658502,False,False
65,3,1,5,42,0.16851121307000602,0.2860749142517119,0.7506525013658502,False,False
65,3,1,6,41,0.19123121762230852,0.23103330061877106,0.7506525013658502,False,False
65,3,1,7,39,0.22523605783441927,0.16801075066046436,0.7506525013658502,False,False
65,3,1,8,35,0.186798489769514,0.2826108560495991,0.7506525013658502,False,False
65,3,1,9,34,0.18222307822142939,0.3023258158347561,0.7506525013658502,False,False
65,3,1,10,0,,,,False,False
65,4,1,0,44,0.24993084118667877,0.10179548483894592,0.7506525013658502,False,False
65,4,1,1,44,0.24993084118667877,0.10179548483894592,0.7506525013658502,False,False
65,4,1,2,44,0.24993084118667877,0.10179548483894592,0.7506525013658502,False,False
65,4,1,3,42,0.22527802133393665,0.15145180323951235,0.7506525013658502,False,False
65,4,1,4,42,0.22527802133393665,0.15145180323951235,0.7506525013658502,False,False
65,4,1,5,42,0.22527802133393665,0.15145180323951235,0.7506525013658502,False,False
65,4,1,6,41,0.2223598474684639,0.16231410498827373,0.7506525013658502,False,False
65,4,1,7,37,0.21127188795094992,0.20939359254620665,0.7506525013658502,False,False
65,4,1,8,36,0.1584521405282975,0.3560019212991737,0.7506525013658502,False,False
65,4,1,9,34,0.22498189977212643,0.2008039652684693,0.7506525013658502,False,False
65,4,1,10,0,,,,False,False
65,5,1,0,44,0.22284439178812243,0.14595100572647277,0.7506525013658502,False,False
65,5,1,1,44,0.22284439178812243,0.14595100572647277,0.7506525013658502,False,False
65,5,1,2,44,0.22284439178812243,0.14595100572647277,0.7506525013658502,False,False
65,5,1,3,42,0.19185229325875688,0.22354033158396291,0.7506525013658502,False,False
65,5,1,4,42,0.19185229325875688,0.22354033158396291,0.7506525013658502,False,False
65,5,1,5,42,0.19185229325875688,0.22354033158396291,0.7506525013658502,False,False
65,5,1,6,41,0.25401311714348707,0.10902562358870715,0.7506525013658502,False,False
65,5,1,7,37,0.21650315585744503,0.19807142829440574,0.7506525013658502,False,False
65,5,1,8,37,0.21650315585744503,0.19807142829440574,0.7506525013658502,False,False
65,5,1,9,34,0.23095893934372927,0.1887827758677545,0.7506525013658502,False,False
65,5,1,10,0,,,,False,False
65,6,1,0,44,0.24505103698693884,0.10888133708740987,0.7506525013658502,False,False
65,6,1,1,44,0.24505103698693884,0.10888133708740987,0.7506525013658502,False,False
65,6,1,2,44,0.24505103698693884,0.10888133708740987,0.7506525013658502,False,False
65,6,1,3,42,0.21747055200250778,0.16652400655029306,0.7506525013658502,False,False
65,6,1,4,42,0.21747055200250778,0.16652400655029306,0.7506525013658502,False,False
65,6,1,5,42,0.21747055200250778,0.16652400655029306,0.7506525013658502,False,False
65,6,1,6,41,0.19980033482714904,0.21040362485298245,0.7506525013658502,False,False
65,6,1,7,38,0.1956856474700801,0.23902930331269984,0.7506525013658502,False,False
65,6,1,8,35,0.16460739098486493,0.3446942475783252,0.7506525013658502,False,False
65,6,1,9,34,0.15540302886167318,0.3801593653726483,0.7506525013658502,False,False
65,6,1,10,0,,,,False,False
65,7,1,0,44,0.13019883379306044,0.3995793853975525,0.7506525013658502,False,False
65,7,1,1,44,0.13019883379306044,0.3995793853975525,0.7506525013658502,False,False
65,7,1,2,44,0.13019883379306044,0.3995793853975525,0.7506525013658502,False,False
65,7,1,3,42,0.09539751589339628,0.5478653450340388,0.7642468984047789,False,False
65,7,1,4,42,0.09539751589339628,0.5478653450340388,0.7642468984047789,False,False
65,7,1,5,42,0.09539751589339628,0.5478653450340388,0.7642468984047789,False,False
65,7,1,6,42,0.09539751589339628,0.5478653450340388,0.7642468984047789,False,False
65,7,1,7,39,0.178714729697163,0.2763506219241782,0.7506525013658502,False,False
65,7,1,8,35,0.1285117429617333,0.4618930378218143,0.7510354628300103,False,False
65,7,1,9,34,0.11754844490818867,0.5079180291737286,0.7558559619392049,False,False
65,7,1,10,0,,,,False,False
65,8,1,0,44,0.2123068435886841,0.16648912721330802,0.7506525013658502,False,False
65,8,1,1,44,0.2123068435886841,0.16648912721330802,0.7506525013658502,False,False
65,8,1,2,44,0.2123068435886841,0.16648912721330802,0.7506525013658502,False,False
65,8,1,3,42,0.18315021806643514,0.24564960111158887,0.7506525013658502,False,False
65,8,1,4,42,0.18315021806643514,0.24564960111158887,0.7506525013658502,False,False
65,8,1,5,42,0.18315021806643514,0.24564960111158887,0.7506525013658502,False,False
65,8,1,6,42,0.18315021806643514,0.24564960111158887,0.7506525013658502,False,False
65,8,1,7,38,0.09776743159812036,0.5592551743364969,0.7689132802034692,False,False
65,8,1,8,35,0.16362424103870962,0.34762333738589196,0.7506525013658502,False,False
65,8,1,9,35,0.16362424103870962,0.34762333738589196,0.7506525013658502,False,False
65,8,1,10,0,,,,False,False
65,9,1,0,44,0.17164180859085154,0.26525402808866577,0.7506525013658502,False,False
65,9,1,1,44,0.17164180859085154,0.26525402808866577,0.7506525013658502,False,False
65,9,1,2,44,0.17164180859085154,0.26525402808866577,0.7506525013658502,False,False
65,9,1,3,42,0.14167303724321936,0.37080647129883215,0.7506525013658502,False,False
65,9,1,4,42,0.14167303724321936,0.37080647129883215,0.7506525013658502,False,False
65,9,1,5,42,0.14167303724321936,0.37080647129883215,0.7506525013658502,False,False
65,9,1,6,42,0.14167303724321936,0.37080647129883215,0.7506525013658502,False,False
65,9,1,7,40,0.12110719913754361,0.4566300104742626,0.7510354628300103,False,False
65,9,1,8,36,0.19406169530541584,0.25675267466014745,0.7506525013658502,False,False
65,9,1,9,34,0.12689714782787512,0.4745141359034775,0.7510354628300103,False,False
65,9,1,10,0,,,,False,False
65,10,1,0,44,0.18302801839024468,0.2343622096919636,0.7506525013658502,False,False
65,10,1,1,44,0.18302801839024468,0.2343622096919636,0.7506525013658502,False,False
65,10,1,2,43,0.15774013943007406,0.312383330383421,0.7506525013658502,False,False
65,10,1,3,42,0.15354689685143405,0.33162785650646076,0.7506525013658502,False,False
65,10,1,4,42,0.15354689685143405,0.33162785650646076,0.7506525013658502,False,False
65,10,1,5,42,0.15354689685143405,0.33162785650646076,0.7506525013658502,False,False
65,10,1,6,42,0.15354689685143405,0.33162785650646076,0.7506525013658502,False,False
65,10,1,7,40,0.13898627282529286,0.3923769298085189,0.7506525013658502,False,False
65,10,1,8,35,0.16474784097717285,0.3442770355815293,0.7506525013658502,False,False
65,10,1,9,34,0.14957924671498327,0.39848458352928334,0.7506525013658502,False,False
65,10,1,10,0,,,,False,False
65,1;2,2,0,44,0.1655597337911757,0.28281507566723163,0.7506525013658502,False,False
65,1;2,2,1,44,0.1655597337911757,0.28281507566723163,0.7506525013658502,False,False
65,1;2,2,2,42,0.14053444796571932,0.3747029634548673,0.7506525013658502,False,False
65,1;2,2,3,42,0.14053444796571932,0.3747029634548673,0.7506525013658502,False,False
65,1;2,2,4,42,0.14053444796571932,0.3747029634548673,0.7506525013658502,False,False
65,1;2,2,5,41,0.1263507587856588,0.4311752095431357,0.7509041397983071,False,False
65,1;2,2,6,37,0.10700320717830891,0.5284660889927455,0.760535689565614,False,False
65,1;2,2,7,35,0.11432629373863488,0.5131444987208412,0.756979384639706,False,False
65,1;2,2,8,34,0.1008433855926834,0.5703958842437475,0.7709077668143348,False,False
65,1;2,2,9,0,,,,False,False
65,1;2,2,10,0,,,,False,False
65,1;3,2,0,43,0.1568148292174844,0.3152663819143018,0.7506525013658502,False,False
65,1;3,2,1,43,0.1568148292174844,0.3152663819143018,0.7506525013658502,False,False
65,1;3,2,2,43,0.1568148292174844,0.3152663819143018,0.7506525013658502,False,False
65,1;3,2,3,42,0.1385825806328621,0.38143903976019,0.7506525013658502,False,False
65,1;3,2,4,42,0.1385825806328621,0.38143903976019,0.7506525013658502,False,False
65,1;3,2,5,41,0.17391810326967155,0.2768185006911617,0.7506525013658502,False,False
65,1;3,2,6,39,0.1801482265997564,0.2724531214360827,0.7506525013658502,False,False
65,1;3,2,7,35,0.16727594083871516,0.33681984949704324,0.7506525013658502,False,False
65,1;3,2,8,34,0.16475173178135963,0.35179619731681017,0.7506525013658502,False,False
65,1;3,2,9,0,,,,False,False
65,1;3,2,10,0,,,,False,False
65,1;4,2,0,44,0.18826143158996572,0.22102263593980692,0.7506525013658502,False,False
65,1;4,2,1,44,0.18826143158996572,0.22102263593980692,0.7506525013658502,False,False
65,1;4,2,2,43,0.1859949690187079,0.23241334957857873,0.7506525013658502,False,False
65,1;4,2,3,42,0.16517677304304162,0.2958545464271091,0.7506525013658502,False,False
65,1;4,2,4,42,0.16517677304304162,0.2958545464271091,0.7506525013658502,False,False
65,1;4,2,5,41,0.18353650013224762,0.2506990038480525,0.7506525013658502,False,False
65,1;4,2,6,37,0.1547979730512869,0.3602901609631,0.7506525013658502,False,False
65,1;4,2,7,36,0.10490357512174746,0.5425960953637958,0.7629132098466005,False,False
65,1;4,2,8,34,0.17501997925052346,0.3221595775217734,0.7506525013658502,False,False
65,1;4,2,9,0,,,,False,False
65,1;4,2,10,0,,,,False,False
65,1;5,2,0,44,0.17843110139048965,0.24652422186037737,0.7506525013658502,False,False
65,1;5,2,1,44,0.17843110139048965,0.24652422186037737,0.7506525013658502,False,False
65,1;5,2,2,43,0.17735461593470925,0.2552165594287796,0.7506525013658502,False,False
65,1;5,2,3,42,0.151839012935184,0.33709862992565565,0.7506525013658502,False,False
65,1;5,2,4,42,0.151839012935184,0.33709862992565565,0.7506525013658502,False,False
65,1;5,2,5,41,0.22323424718324353,0.16062622169746527,0.7506525013658502,False,False
65,1;5,2,6,37,0.18000317296439966,0.2863900474677214,0.7506525013658502,False,False
65,1;5,2,7,37,0.18000317296439966,0.2863900474677214,0.7506525013658502,False,False
65,1;5,2,8,34,0.1981618504123702,0.2612515375124982,0.7506525013658502,False,False
65,1;5,2,9,0,,,,False,False
65,1;5,2,10,0,,,,False,False
65,1;6,2,0,44,0.18387667999019944,0.23216252320845376,0.7506525013658502,False,False
65,1;6,2,1,44,0.18387667999019944,0.23216252320845376,0.7506525013658502,False,False
65,1;6,2,2,43,0.18235692561491906,0.24183882641969232,0.7506525013658502,False,False
65,1;6,2,3,42,0.15883320421125569,0.3150468852142619,0.7506525013658502,False,False
65,1;6,2,4,42,0.15883320421125569,0.3150468852142619,0.7506525013658502,False,False
65,1;6,2,5,41,0.1670103455229123,0.2966384611957822,0.7506525013658502,False,False
65,1;6,2,6,38,0.1482467026288486,0.37440687662959155,0.7506525013658502,False,False
65,1;6,2,7,35,0.11797799353864043,0.49968707174945154,0.7558129676892907,False,False
65,1;6,2,8,34,0.11203117761132456,0.5281681275920528,0.760535689565614,False,False
65,1;6,2,9,0,,,,False,False
65,1;6,2,10,0,,,,False,False
65,1;7,2,0,44,0.040735756797828794,0.7929047943968245,0.8803486865361391,False,False
65,1;7,2,1,44,0.040735756797828794,0.7929047943968245,0.8803486865361391,False,False
65,1;7,2,2,43,0.03137812435767933,0.8416791975839815,0.9067512986500851,False,False
65,1;7,2,3,42,0.004147718082321577,0.9792021753610506,0.9885252446861921,False,False
65,1;7,2,4,42,0.004147718082321577,0.9792021753610506,0.9885252446861921,False,False
65,1;7,2,5,42,0.004147718082321577,0.9792021753610506,0.9885252446861921,False,False
65,1;7,2,6,39,0.1243277101363085,0.4507904027386177,0.7509923134248312,False,False
65,1;7,2,7,35,0.06306204654624946,0.7189298613109569,0.8379928776424039,False,False
65,1;7,2,8,34,0.0545596432689898,0.7592518554212807,0.8606163324497109,False,False
65,1;7,2,9,0,,,,False,False
65,1;7,2,10,0,,,,False,False
65,1;8,2,0,44,0.16393313239126242,0.287637391897884,0.7506525013658502,False,False
65,1;8,2,1,44,0.16393313239126242,0.287637391897884,0.7506525013658502,False,False
65,1;8,2,2,43,0.16310561260320272,0.2959966568570416,0.7506525013658502,False,False
65,1;8,2,3,42,0.1385825806328621,0.38143903976019,0.7506525013658502,False,False
