w_correct,w_sac_total_vec_both,n,pearson_r,pearson_p,pearson_ci95_boot_lo,pearson_ci95_boot_hi,spearman_rho,spearman_p,spearman_ci95_boot_lo,spearman_ci95_boot_hi
0.0,1.0,62,0.2134576049407118,0.09574893841425153,-0.03853907633370959,0.4273704824577733,0.2554086749861026,0.04512080101443588,-0.0038582351853202897,0.49415381588891294
0.05,0.95,62,0.19668538214867304,0.12547458959222912,-0.05072782334340497,0.4131972880325829,0.2476269326271325,0.0523220600624338,-0.01357041763430479,0.47869387584240697
0.1,0.9,62,0.17623223992209402,0.1706354375104044,-0.0523679839706435,0.40065250169613703,0.2167649668868199,0.09059654953767882,-0.04705783147366425,0.44988319463213644
0.15000000000000002,0.85,62,0.1518584603160938,0.23869754733845272,-0.07090246021745214,0.3607020125128605,0.17980120726647816,0.16200209498649215,-0.07785180393568568,0.41316812864383734
0.2,0.8,62,0.1236985514436679,0.33812993267663427,-0.09033565171678941,0.3219528162402142,0.1787696831681196,0.16446363966708785,-0.06149815316235348,0.4159970839206155
0.25,0.75,62,0.09239329354230547,0.4750850022790024,-0.11745258108473702,0.28316941305641674,0.15103200554286975,0.24129290539145595,-0.09819186871825747,0.37943229664772676
0.30000000000000004,0.7,62,0.05909379994510288,0.6482212266772134,-0.15402470343655636,0.24625298545240915,0.13229798548972246,0.3053492196164319,-0.12564091458745205,0.3672890754172641
0.35000000000000003,0.6499999999999999,62,0.025281852290756225,0.8453542983656531,-0.1719791712221669,0.22041363032917058,0.09102262771448409,0.4816883522848339,-0.13854620488284053,0.325832640640231
0.4,0.6,62,-0.0075425499822162345,0.9536034572044197,-0.21137892913213757,0.1952870242651207,0.04891520713742359,0.7057675118320273,-0.1895010643078056,0.29587358084111476
0.45,0.55,62,-0.03816411244539649,0.7683787277648757,-0.2406716956508106,0.14890925518757783,0.025617448686403286,0.8433272530853658,-0.20897207921667596,0.2687073413015583
0.5,0.5,62,-0.06581801530072148,0.6112736011666641,-0.2722935769891765,0.1390103454954804,-0.0014119853606678974,0.9913098347645468,-0.24534030545674085,0.25803150846489703
0.55,0.44999999999999996,62,-0.09019095142129416,0.48571865223737476,-0.30988351389092633,0.1194021157317377,-0.031820098663622974,0.8060577946443475,-0.28504755901954126,0.21927983733733122
0.6000000000000001,0.3999999999999999,62,-0.11131621346606815,0.38904620322829797,-0.3166305973951611,0.10283490690171505,-0.049041277258911796,0.7050437937404872,-0.2835908353320642,0.19671010831901065
0.65,0.35,62,-0.12944006535171673,0.316007438923153,-0.35090341213047754,0.10896014338546454,-0.07087662230066893,0.5840938276176781,-0.32560613122951876,0.190994618349248
0.7000000000000001,0.29999999999999993,62,-0.14490882016147247,0.2611250453094517,-0.3690817611790274,0.07691183361032562,-0.08595460883065824,0.5065209943207882,-0.3352866654521961,0.17075086337877748
0.75,0.25,62,-0.15809267566114182,0.21973818879663237,-0.36496903009093906,0.061971803388424986,-0.09561158013665477,0.459772728571599,-0.3472503219859439,0.17396539493320012
0.8,0.19999999999999996,62,-0.16934272461403782,0.18824255182309985,-0.3926237864560503,0.051899327624410824,-0.09470387526193969,0.4640640150578129,-0.3453855326182402,0.15693955457585426
0.8500000000000001,0.1499999999999999,62,-0.1789712135709713,0.16398057868960653,-0.3995713292601319,0.05183042619749746,-0.09135041003035343,0.48010480698845764,-0.3440333614278333,0.17578758280666953
0.9,0.09999999999999998,62,-0.18724571875997228,0.14503542754445453,-0.40669259471463537,0.03490995794112663,-0.0907200594229124,0.4831525411769484,-0.34152870479044717,0.17037625242792076
0.9500000000000001,0.04999999999999993,62,-0.19439060328780391,0.13003446300240423,-0.4148071594798721,0.03759862545158287,-0.1108156367881323,0.3911957595915856,-0.34856912954612,0.14309240278918606
1.0,0.0,62,-0.20059169007285932,0.11799326701429151,-0.4128185463165095,0.05390431381294838,-0.12827575144962158,0.3204170093433531,-0.36588787909325104,0.137453099946356
