metric,n,partial_pearson_r|n_answers,partial_pearson_p,partial_spearman_rho|n_answers,partial_spearman_p
mean_SAC_correct_scalar,61,0.2160789941608052,0.0944178224183593,0.2739190074656631,0.032666553449881536
mean_SAC_correct_vec,61,0.2168622693316044,0.09320047849719415,0.19907673664082623,0.12402088452223103
mean_SAC_correct_vec_both,61,0.22331327725321143,0.08363550923977697,0.1882829414847522,0.14618299215901143
mean_SAC_total_scalar,62,0.1626072677546011,0.20668348557335886,0.2858115043426351,0.024329750465596475
mean_SAC_total_vec,62,0.15473482317188203,0.229814745879324,0.18741498978065158,0.14466570875184753
mean_SAC_total_vec_both,62,0.16417503578986073,0.20228110560085943,0.20035023647149452,0.11844557171637525
mean_correct,62,-0.19480222738791328,0.12920744412199134,-0.14687161116235098,0.25465174575443367
weighted_score_30_70,62,0.018379320772933787,0.8872493036496887,0.021037782627477106,0.8710708736403618
weighted_score_50_50,62,-0.08857818744331579,0.49358450892385725,-0.0662375215899848,0.6089989410301173
