q1_cut,removed_images,n_removed,min_answers,n_subjects,spearman_r,spearman_p,fdr_bh,nominal_sig,fdr_sig
65,3;4;5,3,4,41,0.3118983782618996,0.0471229358487447,0.7506525013658502,True,False
65,3;5,2,6,39,0.3057645492062382,0.0583592902318833,0.7506525013658502,False,False
65,3;4;6,3,2,43,0.2954394414160243,0.0544276221149834,0.7506525013658502,False,False
65,3;4;6,3,0,44,0.2920103121844359,0.0544338883619232,0.7506525013658502,False,False
65,3;4;6,3,1,44,0.2920103121844359,0.0544338883619232,0.7506525013658502,False,False
