q1_cut,removed_images,n_removed,min_answers,n_subjects,spearman_r,spearman_p,fdr_bh,nominal_sig,fdr_sig
65,2;4;5;6;8,5,0,44,0.36817769078037627,0.013933744875497889,0.7506525013658502,True,False
65,2;4;5;6;8,5,1,44,0.36817769078037627,0.013933744875497889,0.7506525013658502,True,False
65,2;3;4;5;6;8,6,0,44,0.3652780969805308,0.014763213292340566,0.7506525013658502,True,False
65,2;3;4;5;6;8,6,1,44,0.3652780969805308,0.014763213292340566,0.7506525013658502,True,False
65,2;3;4;5;6,5,0,44,0.36131767618074184,0.015963609859186614,0.7506525013658502,True,False
